strategy,strategy_family,total_return,cagr,sharpe,max_drawdown,calmar,volatility,hit_rate,trade_win_rate,average_trade_directional_return,orders,round_trips,median_bars_held,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year,execution_model,config_method,config_period,config_train_window,config_step,config_z_window,config_hedge_window,config_similarity_window,config_entry_z,config_exit_z,config_min_trend_corr,config_min_cycle_corr,config_max_fair_spread_trend_abs,config_max_cointegration_pvalue,config_require_cointegration,config_allow_short,config_max_gross,config_name
classic_pair_spread_zscore,classic_pair_spread_zscore,0.0558432813665839,0.006501698517543009,0.15475458818193177,-0.10072421925945829,0.06454950522669334,0.04991247915787706,0.49834358731661144,0.4941860465116279,0.003987097523602168,11750.0,172.0,55.5,0.05286372151734692,0.979649787032655,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,63,126,126,63,120,120,1.5,0.25,0.5,0.25,0.0025,0.1,False,True,1.0,STL_p63_tw126
detime_STL_p63_tw126_cointegration_filtered_residual_gap,cointegration_filtered_residual_gap,-0.032838982159066665,-0.003974264174523956,-0.11217780439299987,-0.09446885425514728,-0.04206957103332723,0.031170519256493712,0.18551822053951728,0.45714285714285713,-0.0029106209906462717,4200.0,70.0,59.0,0.014423002122312092,0.3909133932796971,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,63,126,126,63,120,120,1.5,0.25,0.5,0.25,0.0025,0.1,False,True,1.0,STL_p63_tw126
detime_STL_p63_tw126_component_residual_gap,component_residual_gap,-0.06894337841489706,-0.008483294657290474,-0.2316076093268068,-0.09322716707802392,-0.09099595024903646,0.03424563739902393,0.20397539044013252,0.4772727272727273,-0.003671464690394188,5280.0,88.0,59.0,0.015592741952969875,0.4188357785139612,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,63,126,126,63,120,120,1.5,0.25,0.5,0.25,0.0025,0.1,False,True,1.0,STL_p63_tw126
detime_STL_p63_tw126_fair_spread_deviation,fair_spread_deviation,-0.11252662828621207,-0.014136209200252048,-0.6749287722964189,-0.1275790123324415,-0.11080356354708519,0.020772889580667427,0.04779933743492665,0.5178571428571429,0.0005530852108651664,694.0,112.0,3.0,0.04952417064645759,0.10269758637008992,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy,STL,63,126,126,63,120,120,1.5,0.25,0.5,0.25,0.0025,0.1,False,True,1.0,STL_p63_tw126
