,trend,trend,trend,trend,trend,trend,trend,trend,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,trend_strength,trend_strength,trend_strength,trend_strength,trend_strength,trend_strength,trend_strength,trend_strength,residual_z,residual_z,residual_z,residual_z,residual_z,residual_z,residual_z,residual_z,selected_period,selected_period,selected_period,selected_period,selected_period,selected_period,selected_period,selected_period
,CVX,KO,MA,PEP,QQQ,SPY,V,XOM,CVX,KO,MA,PEP,QQQ,SPY,V,XOM,CVX,KO,MA,PEP,QQQ,SPY,V,XOM,CVX,KO,MA,PEP,QQQ,SPY,V,XOM,CVX,KO,MA,PEP,QQQ,SPY,V,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,5.004344173266055,4.244129641161311,6.309196383776221,4.994654944318061,6.455594735102511,6.541609271550342,5.8173823382134495,4.768398650907909,0.047278824276225435,-0.011527590122454526,0.0507344451631776,-0.06641710941684652,-0.026377643507968004,-0.008355343984347324,0.042771162673107634,0.029646013659926536,-0.007627493429004539,0.04455499600888158,-0.03795414683917727,0.04273175447254277,0.08912550102882551,0.10069591360302914,-0.014635517013235693,0.06897648501997773,-0.0017043574901097224,8.452608929294752e-05,-0.0010141695264426498,-0.0008592893232788107,-0.0013799084515211224,-0.0012676108321609718,-0.0021128966463048343,-0.0015070499950439818,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
2026-05-26,5.004344173266055,4.244129641161311,6.309196383776221,4.994654944318061,6.455594735102511,6.541609271550342,5.8173823382134495,4.768398650907909,0.047278824276225435,-0.011527590122454526,0.0507344451631776,-0.06641710941684652,-0.026377643507968004,-0.008355343984347324,0.042771162673107634,0.029646013659926536,-0.007627493429004539,0.04455499600888158,-0.03795414683917727,0.04273175447254277,0.08912550102882551,0.10069591360302914,-0.014635517013235693,0.06897648501997773,-0.0017043574901097224,8.452608929294752e-05,-0.0010141695264426498,-0.0008592893232788107,-0.0013799084515211224,-0.0012676108321609718,-0.0021128966463048343,-0.0015070499950439818,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
2026-05-27,5.004344173266055,4.244129641161311,6.309196383776221,4.994654944318061,6.455594735102511,6.541609271550342,5.8173823382134495,4.768398650907909,0.047278824276225435,-0.011527590122454526,0.0507344451631776,-0.06641710941684652,-0.026377643507968004,-0.008355343984347324,0.042771162673107634,0.029646013659926536,-0.007627493429004539,0.04455499600888158,-0.03795414683917727,0.04273175447254277,0.08912550102882551,0.10069591360302914,-0.014635517013235693,0.06897648501997773,-0.0017043574901097224,8.452608929294752e-05,-0.0010141695264426498,-0.0008592893232788107,-0.0013799084515211224,-0.0012676108321609718,-0.0021128966463048343,-0.0015070499950439818,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
2026-05-28,5.004344173266055,4.244129641161311,6.309196383776221,4.994654944318061,6.455594735102511,6.541609271550342,5.8173823382134495,4.768398650907909,0.047278824276225435,-0.011527590122454526,0.0507344451631776,-0.06641710941684652,-0.026377643507968004,-0.008355343984347324,0.042771162673107634,0.029646013659926536,-0.007627493429004539,0.04455499600888158,-0.03795414683917727,0.04273175447254277,0.08912550102882551,0.10069591360302914,-0.014635517013235693,0.06897648501997773,-0.0017043574901097224,8.452608929294752e-05,-0.0010141695264426498,-0.0008592893232788107,-0.0013799084515211224,-0.0012676108321609718,-0.0021128966463048343,-0.0015070499950439818,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
2026-05-29,5.004344173266055,4.244129641161311,6.309196383776221,4.994654944318061,6.455594735102511,6.541609271550342,5.8173823382134495,4.768398650907909,0.047278824276225435,-0.011527590122454526,0.0507344451631776,-0.06641710941684652,-0.026377643507968004,-0.008355343984347324,0.042771162673107634,0.029646013659926536,-0.007627493429004539,0.04455499600888158,-0.03795414683917727,0.04273175447254277,0.08912550102882551,0.10069591360302914,-0.014635517013235693,0.06897648501997773,-0.0017043574901097224,8.452608929294752e-05,-0.0010141695264426498,-0.0008592893232788107,-0.0013799084515211224,-0.0012676108321609718,-0.0021128966463048343,-0.0015070499950439818,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
