method,backend_used,trend_mean,trend_std,season_std,residual_rms,residual_peak_abs,reconstruction_max_abs_error
SSA,native,1.1908501600541532,0.6917338604216825,0.7036104635973588,1.5457704366726478e-15,4.9960036108132044e-15,4.440892098500626e-16
STD,native,1.1900000000000002,0.6893475175845635,0.65583965305194,3.994135664447016e-17,1.1102230246251565e-16,2.220446049250313e-16
