strategy,average_turnover,median_turnover,max_turnover,average_gross_exposure
classic_rsi_14_reversion,0.00992063492063492,0.0,1.0,0.06746031746031746
classic_bollinger_20_2z,0.031746031746031744,0.0,1.0,0.16765873015873015
classic_price_zscore_63_1p5z,0.01984126984126984,0.0,1.0,0.22420634920634921
classic_apo_10_40_reversion,0.017857142857142856,0.0,1.0,0.30257936507936506
detime_residual_z_1p0_cycle_volume,0.00496031746031746,0.0,1.0,0.1259920634920635
detime_residual_band_1p25z,0.001984126984126984,0.0,1.0,0.0625
detime_residual_rsi_14,0.00496031746031746,0.0,1.0,0.1259920634920635
detime_trend_pullback_residual,0.00496031746031746,0.0,1.0,0.1259920634920635
