Date,AUDUSD=X__NZDUSD=X,EURUSD=X__GBPUSD=X,CADUSD=X__CHFUSD=X
2014-01-01,1.0,1.0,1.0
2014-01-02,1.0,1.0,1.0
2014-01-03,1.0,1.0,1.0
2014-01-06,1.0,1.0,1.0
2014-01-07,1.0,1.0,1.0
2014-01-08,1.0,1.0,1.0
2014-01-09,1.0,1.0,1.0
2014-01-10,1.0,1.0,1.0
2014-01-13,1.0,1.0,1.0
2014-01-14,1.0,1.0,1.0
2014-01-15,1.0,1.0,1.0
2014-01-16,1.0,1.0,1.0
2014-01-17,1.0,1.0,1.0
2014-01-20,1.0,1.0,1.0
2014-01-21,1.0,1.0,1.0
2014-01-22,1.0,1.0,1.0
2014-01-23,1.0,1.0,1.0
2014-01-24,1.0,1.0,1.0
2014-01-27,1.0,1.0,1.0
2014-01-28,1.0,1.0,1.0
2014-01-29,1.0,1.0,1.0
2014-01-30,1.0,1.0,1.0
2014-01-31,1.0,1.0,1.0
2014-02-03,1.0,1.0,1.0
2014-02-04,1.0,1.0,1.0
2014-02-05,1.0,1.0,1.0
2014-02-06,1.0,1.0,1.0
2014-02-07,1.0,1.0,1.0
2014-02-10,1.0,1.0,1.0
2014-02-11,1.0,1.0,1.0
2014-02-12,1.0,1.0,1.0
2014-02-13,1.0,1.0,1.0
2014-02-14,1.0,1.0,1.0
2014-02-17,1.0,1.0,1.0
2014-02-18,1.0,1.0,1.0
2014-02-19,1.0,1.0,1.0
2014-02-20,1.0,1.0,1.0
2014-02-21,1.0,1.0,1.0
2014-02-24,1.0,1.0,1.0
2014-02-25,1.0,1.0,1.0
2014-02-26,1.0,1.0,1.0
2014-02-27,1.0,1.0,1.0
2014-02-28,1.0,1.0,1.0
2014-03-03,1.0,1.0,1.0
2014-03-04,1.0,1.0,1.0
2014-03-05,1.0,1.0,1.0
2014-03-06,1.0,1.0,1.0
2014-03-07,1.0,1.0,1.0
2014-03-10,1.0,1.0,1.0
2014-03-11,1.0,1.0,1.0
2014-03-12,1.0,1.0,1.0
2014-03-13,1.0,1.0,1.0
2014-03-14,1.0,1.0,1.0
2014-03-17,1.0,1.0,1.0
2014-03-18,1.0,1.0,1.0
2014-03-19,1.0,1.0,1.0
2014-03-20,1.0,1.0,1.0
2014-03-21,1.0,1.0,1.0
2014-03-24,1.0,1.0,1.0
2014-03-25,1.0,1.0,1.0
2014-03-26,0.8108737938989774,0.27927869878281164,0.21540786211660498
2014-03-27,0.8162567669984052,0.2662626278169725,0.20179642669517237
2014-03-28,0.8139402342125921,0.2572978276327289,0.19255646422826986
2014-03-31,0.814042944480607,0.2580005858829252,0.19289472179121933
2014-04-01,0.8140491669777028,0.26030801452674535,0.19269619218725473
2014-04-02,0.8040505192785186,0.2547799358225449,0.19448115562926194
2014-04-03,0.7878149101539811,0.2558330039283747,0.19101150189793437
2014-04-04,0.7876175236472792,0.262536232295911,0.1874106526627836
2014-04-07,0.7905101198240925,0.2643478600273796,0.18316598234328688
2014-04-08,0.791788653662854,0.2703731117753862,0.18341553673654695
2014-04-09,0.8037043445215438,0.2846775915412209,0.19524098949127638
2014-04-10,0.7972911913067261,0.2970396271971741,0.20713584072547833
2014-04-11,0.7729821223263168,0.29215977295659123,0.19150831554192493
2014-04-14,0.7711908649842634,0.29999204376322797,0.1943633327854581
2014-04-15,0.7701671846167448,0.3004309216630315,0.1890384502150799
2014-04-16,0.7678422221241583,0.30057392748766254,0.18927828787009415
2014-04-17,0.7677150175589239,0.29852354757435273,0.19067192529105464
2014-04-18,0.7677136663804112,0.29970385782336695,0.18942693727736534
2014-04-21,0.7673446559126139,0.29972177151884716,0.1896170226576693
2014-04-22,0.7657519493458439,0.29991131677914923,0.1875774204301809
2014-04-23,0.7658439112329851,0.3009660453532461,0.18748377110332667
2014-04-24,0.7671835231137217,0.29659091005230315,0.18732976172338586
2014-04-25,0.7623427514512476,0.2973004761290583,0.18859094157870093
2014-04-28,0.7621374435857464,0.2969802469594013,0.18806820630711535
2014-04-29,0.7564464232020288,0.297064557945488,0.1884140802872608
2014-04-30,0.7559569597167514,0.2946680824809198,0.17031744950736274
2014-05-01,0.7482380425158176,0.304974568906426,0.16705911605393156
2014-05-02,0.7461985997997296,0.30471515702931945,0.16727076470580854
2014-05-05,0.7419193658523258,0.3041965546328603,0.1662030373711848
2014-05-06,0.741138213823497,0.30388709722211266,0.16579055094487596
2014-05-07,0.7466043268710952,0.3170349852313248,0.18111244522158626
2014-05-08,0.7404658787152179,0.3187477612183785,0.18125162997499997
2014-05-09,0.7378628064007067,0.32585408672293426,0.1608060188907412
2014-05-12,0.7368574840311224,0.34878613317228246,0.1837424681457435
2014-05-13,0.7368792565365381,0.34845929117145874,0.18335028111327553
2014-05-14,0.7368788434369764,0.35530643213015894,0.18341342422625423
2014-05-15,0.733820347374701,0.346168129731812,0.1836690400750496
2014-05-16,0.734354986329624,0.34513790745317197,0.18247556231982387
2014-05-19,0.7324053449664853,0.34273512078860013,0.1807910166622321
2014-05-20,0.734178490395223,0.3421177450731833,0.1808168704478158
2014-05-21,0.7519305334363597,0.34096939349023975,0.17995895106659598
2014-05-22,0.7518075069654632,0.3314932301618256,0.1798305459417029
2014-05-23,0.7518359009456462,0.33407542029001136,0.17801150585915465
2014-05-26,0.7472294192042443,0.3364645750418158,0.17593314804364643
2014-05-27,0.747195874873517,0.3371333355630363,0.17672711900295565
2014-05-28,0.7472314652880878,0.3377418723567093,0.17587213646202343
2014-05-29,0.7361084792868531,0.34425787886526743,0.17683357715259443
2014-05-30,0.7370825273447598,0.34457194266628455,0.17743324870902982
2014-06-02,0.7374097583888903,0.34669393611233695,0.1761229032168231
2014-06-03,0.7437834236688668,0.3479909554768203,0.18547339448444
2014-06-04,0.7430505725440072,0.3473010781540822,0.18370813989689042
2014-06-05,0.7410150009246834,0.34747605032669643,0.1837931208771221
2014-06-06,0.7409094174776932,0.35882271194852744,0.1873560613888488
2014-06-09,0.7404522555755667,0.3594816501103323,0.18720943719295197
