strategy,average_turnover,median_turnover,max_turnover,average_gross_exposure
classic_pair_spread_zscore_120,0.050866827844140754,0.002162655672509825,1.2,0.9862754377662092
classic_pair_corr_filtered_zscore,0.04911576300741572,0.002152054719765095,1.0029139977083759,0.9716043539990534
classic_pair_ratio_zscore_120,0.07053162959457328,0.0,1.2000000000000002,0.972077614765736
detime_spread_residual_z,0.0052963183072481665,0.0,2.0,0.43823946994794133
detime_spread_cycle_timed,0.0028731199009596996,0.0,2.0,0.23852342640795077
detime_spread_trend_drift_blocker,0.006108375738904258,0.0,2.0,0.35778513961192615
