strategy,total_return,cagr,volatility,sharpe,max_drawdown,calmar,hit_rate,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year
classic_apo_10_40_reversion,0.243735347793804,0.115228832031258,0.0789716488982354,1.4207381889166364,-0.07515765139721287,1.5331616926434601,0.13095238095238096,0.015873015873015872,0.2261904761904762,1.0,2.0,252.0
classic_rsi_14_reversion,0.055292490995231924,0.027274301730181527,0.020707907607268282,1.3097899348400945,-0.0060926043191069645,4.476624494495207,0.011904761904761904,0.003968253968253968,0.015873015873015872,1.0,2.0,252.0
classic_price_zscore_63_1p5z,0.186440227182868,0.08923837023071668,0.07168191451824035,1.2284524371957082,-0.047886339691725954,1.8635454454276392,0.07738095238095238,0.01984126984126984,0.13095238095238096,1.0,2.0,252.0
classic_bollinger_20_2z,0.17011496888697897,0.08171852572052174,0.06747853254773808,1.1980455595802744,-0.047886339691725954,1.7065101706790398,0.07738095238095238,0.027777777777777776,0.11706349206349206,1.0,2.0,252.0
detime_residual_z_1p0_cycle_volume,0.18468953575578673,0.08843444256224586,0.07856400450031832,1.117873798198234,-0.07515765139721275,1.176652555238381,0.13293650793650794,0.001984126984126984,0.251984126984127,1.0,2.0,252.0
detime_residual_band_1p25z,0.18468953575578673,0.08843444256224586,0.07856400450031832,1.117873798198234,-0.07515765139721275,1.176652555238381,0.13293650793650794,0.001984126984126984,0.251984126984127,1.0,2.0,252.0
detime_trend_pullback_residual,0.18468953575578673,0.08843444256224586,0.07856400450031832,1.117873798198234,-0.07515765139721275,1.176652555238381,0.13293650793650794,0.001984126984126984,0.251984126984127,1.0,2.0,252.0
detime_residual_rsi_14,0.18434033599278732,0.08827401696116377,0.07853101110504944,1.1164333793583117,-0.07515765139721275,1.1745180340273038,0.13293650793650794,0.003968253968253968,0.25,1.0,2.0,252.0
classic_volatility_breakout_20,0.1615419634477948,0.0777485622573546,0.12524595493057447,0.6607682456505982,-0.10687137644632605,0.7274965930321129,0.30753968253968256,0.06944444444444445,0.5813492063492064,1.0,2.0,252.0
classic_donchian_55_20,0.06057135001454972,0.02984044881454806,0.09507094896820598,0.3567350224226401,-0.09616271561788026,0.3103120437355827,0.19246031746031747,0.021825396825396824,0.36507936507936506,1.0,2.0,252.0
classic_turtle_55_20_atr_cap,0.06057135001454972,0.02984044881454806,0.09507094896820598,0.3567350224226401,-0.09616271561788026,0.3103120437355827,0.19246031746031747,0.021825396825396824,0.36507936507936506,1.0,2.0,252.0
detime_turtle_55_20_volume_shock,0.021001746258190623,0.01044631042831301,0.051483904988440785,0.22729465314500238,-0.058362231591003066,0.17899093546524666,0.041666666666666664,0.005952380952380952,0.09325396825396826,1.0,2.0,252.0
detime_donchian_55_20_trend_cycle_volume,0.009523041022160283,0.004750238129934692,0.028495599336124125,0.18061234120044128,-0.030707772630553243,0.15469171883890914,0.01984126984126984,0.03968253968253968,0.03571428571428571,1.0,2.0,252.0
detime_breakout_trend_volume_no_cycle_ablation,0.009523041022160283,0.004750238129934692,0.028495599336124125,0.18061234120044128,-0.030707772630553243,0.15469171883890914,0.01984126984126984,0.03968253968253968,0.03571428571428571,1.0,2.0,252.0
detime_donchian_20_10_trend_cycle_volume,0.008834774449399063,0.0044076734321572,0.02905050448703449,0.1659736984221546,-0.030707772630553243,0.14353608401319565,0.023809523809523808,0.047619047619047616,0.041666666666666664,1.0,2.0,252.0
classic_donchian_20_10,-0.060714268665204574,-0.030832454456508618,0.11898542759403964,-0.20334846783251787,-0.13910422353808616,-0.22165002379001683,0.24801587301587302,0.0496031746031746,0.4880952380952381,1.0,2.0,252.0
