ticker,first_timestamp,last_timestamp,observations,close_missing_ratio,volume_missing_ratio,zero_volume_ratio,min_close,max_close,median_volume
XLK,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,26.972509384155277,191.0200042724609,15556600.0
XLF,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,15.840228080749512,56.111568450927734,46103300.0
XLE,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,9.245277404785156,62.560001373291016,38215400.0
XLV,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,67.76959991455078,159.5441131591797,8963500.0
XLY,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,41.45119094848633,124.27035522460938,8902000.0
XLP,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,39.47601318359375,89.50619506835938,11909300.0
XLI,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,44.49521255493164,178.39871215820312,10260900.0
XLU,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,18.346532821655273,47.398616790771484,26507600.0
XLB,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,17.023155212402344,53.382598876953125,11562800.0
XLRE,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,20.81500816345215,44.8438835144043,4929900.0
XLC,2018-01-02,2026-05-29,2113,0.0,0.0,0.0,36.34984588623047,119.69802856445312,4272900.0
