date,asset,score,trend_strength,cycle_slope,residual_z,volume_participation,input_volume_available
2017-12-29,GBPUSD=X,2.45625,0.1993340194408398,-0.004212818835101494,-0.19165345679766088,0.5,False
2017-12-29,EURUSD=X,1.85625,0.13901768130793665,-0.0013585943051024254,0.8733248226838565,0.5,False
2017-12-29,AUDUSD=X,0.8187499999999999,-0.14880516966767166,0.0003476174166988921,-0.16185477194723058,0.5,False
2017-12-29,NZDUSD=X,0.4937499999999999,-0.04499320749340243,0.0020498875968721973,1.4083634822302584,0.5,False
2018-01-01,GBPUSD=X,2.45625,0.1993340194408398,-0.004212818835101494,-0.19165345679766088,0.5,False
2018-01-01,EURUSD=X,1.85625,0.13901768130793665,-0.0013585943051024254,0.8733248226838565,0.5,False
2018-01-01,AUDUSD=X,0.8187499999999999,-0.14880516966767166,0.0003476174166988921,-0.16185477194723058,0.5,False
2018-01-01,NZDUSD=X,0.4937499999999999,-0.04499320749340243,0.0020498875968721973,1.4083634822302584,0.5,False
2018-01-02,GBPUSD=X,2.45625,0.1993340194408398,-0.004212818835101494,-0.19165345679766088,0.5,False
2018-01-02,EURUSD=X,1.85625,0.13901768130793665,-0.0013585943051024254,0.8733248226838565,0.5,False
2018-01-02,AUDUSD=X,0.8187499999999999,-0.14880516966767166,0.0003476174166988921,-0.16185477194723058,0.5,False
2018-01-02,NZDUSD=X,0.4937499999999999,-0.04499320749340243,0.0020498875968721973,1.4083634822302584,0.5,False
