,component_stability,cycle,cycle_amplitude,cycle_position,cycle_slope,cycle_turn_up,cycle_z,realized_vol_20,reconstruction_error,residual,residual_abs_z,residual_vol,residual_z,return_1d,season,season_slope,season_z,selected_period,trend,trend_acceleration,trend_gap,trend_slope,trend_strength,trend_strength_price_vol_adj,volume_component_stability,volume_cycle,volume_cycle_amplitude,volume_cycle_position,volume_cycle_slope,volume_cycle_turn_up,volume_cycle_z,volume_participation,volume_reconstruction_error,volume_residual,volume_residual_abs_z,volume_residual_vol,volume_residual_z,volume_selected_period,volume_shock,volume_trend,volume_trend_acceleration,volume_trend_gap,volume_trend_slope,volume_trend_strength
,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.1352803784415033,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,0.00920655779357471,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05661309265575703,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-09,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.13626295340387126,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,-0.0019307736017717403,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05620486278850608,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-10,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.13839129346707954,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,-0.004503606960081896,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05534047993457579,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-11,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.14775908166216042,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,0.0171190874057765,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05183194503605188,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-12,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.14036884849321452,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,-0.0014354136972454246,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05456082800036294,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-13,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.13704244347310923,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,0.0018727675492371532,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05588517254312569,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-16,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.13282391387289874,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,0.0023441991516544025,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05766010333445492,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
2017-10-17,0.9850510345342717,0.01416796648477291,0.01855672190856624,0.7634951126507497,-0.0017202495304083874,0.0,0.809619802648327,0.1328854321226045,0.0,0.02609026793875202,1.5503699501469748,0.015175828400399764,1.5503699501469748,0.0001814445564516376,0.01416796648477291,-0.0017202495304083874,0.809619802648327,63.0,6.819639965929438,-2.2005808766325468e-08,0.04025823442352472,-0.0004824490097314893,-0.05205517207042446,-0.05763341005003761,0.818490793531189,0.11568138908647647,0.3136836775002019,0.36878357843797355,-0.11060041796524246,0.0,0.4301353951851519,2.0,0.0,-0.0016660471257416987,0.035229649226036996,0.22176084068793428,0.035229649226036996,42.0,0.035229649226036996,13.951008801517816,3.509683954149526e-05,0.11401534196073548,-0.004967386801562057,-0.015331565863959411
