strategy,strategy_group,cagr,sharpe,max_drawdown,calmar,average_turnover,average_gross_exposure,total_return,volatility,hit_rate
buy_hold_equal_weight,classical_rotation,0.05599364359300818,0.919990597499268,-0.04283268761907977,1.3072643045650463,0.0,1.0,0.06240556719730783,0.06126439690578058,0.5035714285714286
detime_rotation_top_trend_cycle_residual_volume,detime_rotation,0.04035441157155817,0.6072084963050127,-0.05333162051254492,0.7566695177032134,0.010714285714285714,0.9857142857142858,0.044937578885767104,0.0690871530242981,0.4928571428571429
classic_momentum_63_top,classical_rotation,0.032009173633713583,0.5964262400749104,-0.051827611843740407,0.6176085004692254,0.04642857142857143,0.7714285714285715,0.03562840366885078,0.05540241937416149,0.3678571428571429
detime_rotation_long_short,detime_rotation,0.020244931105919406,0.2866029873261385,-0.08420609215867425,0.24042121640998076,0.013533485504104914,1.438417538358554,0.02251951739793845,0.08155356570865031,0.5071428571428571
