feature,asset,observations,non_null,coverage,first_valid,last_valid
trend,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
cycle,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
residual,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
trend_slope,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
trend_acceleration,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
trend_strength,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
trend_gap,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
cycle_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
cycle_slope,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
cycle_amplitude,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
cycle_position,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
cycle_turn_up,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
residual_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
residual_abs_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
residual_vol,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
reconstruction_error,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
component_stability,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
selected_period,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_trend,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_cycle,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_residual,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_trend_slope,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_trend_acceleration,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_trend_strength,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_trend_gap,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_cycle_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_cycle_slope,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_cycle_amplitude,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_cycle_position,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_cycle_turn_up,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_residual_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_residual_abs_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_residual_vol,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_reconstruction_error,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_component_stability,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_selected_period,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_participation,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
volume_shock,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
season,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
season_slope,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
season_z,GOOG,1008,757,0.7509920634920635,2014-12-31,2018-01-02
