strategy,total_return,cagr,volatility,sharpe,max_drawdown,calmar,hit_rate,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year
classic_pair_ratio_zscore_120,0.015382161282580409,0.010742832906012856,0.02456755641737469,0.44723285227091597,-0.029365699592159622,0.36582928570450596,0.3,0.04722222222222222,0.6111111111111112,1.0,2.0,252.0
classic_pair_spread_zscore_120,0.014077332222558026,0.009833450485524198,0.030487915902826363,0.3362099812128756,-0.029043944806817934,0.33857144926180416,0.41388888888888886,0.05616456081314685,0.7666666666666667,1.0,2.0,252.0
classic_pair_corr_filtered_zscore,0.009886797256221325,0.006910538183406922,0.028804854495129543,0.25348742523248763,-0.02595936482329142,0.2662059811727985,0.3527777777777778,0.05018986492996778,0.6555555555555556,1.0,2.0,252.0
detime_spread_residual_z,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,252.0
detime_spread_cycle_timed,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,252.0
detime_spread_trend_drift_blocker,-0.028666767545547978,-0.02015411444888604,0.029850242709992012,-0.6671086594170714,-0.046600119785613514,-0.43249061465091043,0.3194444444444444,0.009553414677735756,0.6527777777777778,1.0,2.0,252.0
