date,pair,feature,value
2026-05-28,XOM__CVX,cycle_z,0.08663513326482918
2026-05-28,MA__V,cycle_z,-1.5024013199719546
2026-05-28,SPY__QQQ,cycle_z,-1.882586760035202
2026-05-28,GLD__SLV,cycle_z,-2.3133707634191523
2026-05-29,KO__PEP,cycle_z,0.5162451100426162
2026-05-29,XOM__CVX,cycle_z,0.08663513326482918
2026-05-29,MA__V,cycle_z,-1.5024013199719546
2026-05-29,SPY__QQQ,cycle_z,-1.882586760035202
2026-05-29,GLD__SLV,cycle_z,-2.3133707634191523
2026-05-22,KO__PEP,residual_vol,0.028908548189091138
2026-05-22,XOM__CVX,residual_vol,0.05106484345165558
2026-05-22,MA__V,residual_vol,0.05655836723320311
2026-05-22,SPY__QQQ,residual_vol,0.04265920816544146
2026-05-22,GLD__SLV,residual_vol,0.033075484380008645
2026-05-26,KO__PEP,residual_vol,0.028908548189091138
2026-05-26,XOM__CVX,residual_vol,0.05106484345165558
2026-05-26,MA__V,residual_vol,0.05655836723320311
2026-05-26,SPY__QQQ,residual_vol,0.04265920816544146
2026-05-26,GLD__SLV,residual_vol,0.033075484380008645
2026-05-27,KO__PEP,residual_vol,0.028908548189091138
2026-05-27,XOM__CVX,residual_vol,0.05106484345165558
2026-05-27,MA__V,residual_vol,0.05655836723320311
2026-05-27,SPY__QQQ,residual_vol,0.04265920816544146
2026-05-27,GLD__SLV,residual_vol,0.033075484380008645
2026-05-28,KO__PEP,residual_vol,0.028908548189091138
2026-05-28,XOM__CVX,residual_vol,0.05106484345165558
2026-05-28,MA__V,residual_vol,0.05655836723320311
2026-05-28,SPY__QQQ,residual_vol,0.04265920816544146
2026-05-28,GLD__SLV,residual_vol,0.033075484380008645
2026-05-29,KO__PEP,residual_vol,0.028908548189091138
2026-05-29,XOM__CVX,residual_vol,0.05106484345165558
2026-05-29,MA__V,residual_vol,0.05655836723320311
2026-05-29,SPY__QQQ,residual_vol,0.04265920816544146
2026-05-29,GLD__SLV,residual_vol,0.033075484380008645
2026-05-22,KO__PEP,cycle_position,0.4742318106445168
2026-05-22,XOM__CVX,cycle_position,-0.1704492382761526
2026-05-22,MA__V,cycle_position,-1.3735612853679458
2026-05-22,SPY__QQQ,cycle_position,-1.421652934908315
2026-05-22,GLD__SLV,cycle_position,-1.9311220033033258
2026-05-26,KO__PEP,cycle_position,0.4742318106445168
2026-05-26,XOM__CVX,cycle_position,-0.1704492382761526
2026-05-26,MA__V,cycle_position,-1.3735612853679458
2026-05-26,SPY__QQQ,cycle_position,-1.421652934908315
2026-05-26,GLD__SLV,cycle_position,-1.9311220033033258
2026-05-27,KO__PEP,cycle_position,0.4742318106445168
2026-05-27,XOM__CVX,cycle_position,-0.1704492382761526
2026-05-27,MA__V,cycle_position,-1.3735612853679458
