Date,AUDUSD=X__NZDUSD=X,EURUSD=X__GBPUSD=X,CADUSD=X__CHFUSD=X
2014-01-01,0.08030980140506402,-0.186558370600794,-0.17360380874750939
2014-01-02,0.0799472149443354,-0.1859872155848285,-0.17730840161860306
2014-01-03,0.08417217690130656,-0.1852420540716791,-0.17108347226866555
2014-01-06,0.08107573006986635,-0.18830281984895536,-0.16092904518270065
2014-01-07,0.07852412226509002,-0.1859576035835213,-0.16518890276057246
2014-01-08,0.07389078907262045,-0.18601834550526553,-0.16951574772911587
2014-01-09,0.07309780654760421,-0.19213884933378184,-0.17168768137409832
2014-01-10,0.07588002938745983,-0.1914992474299015,-0.17890122917237244
2014-01-13,0.0818228194255453,-0.18767589225307102,-0.18969437996403804
2014-01-14,0.07704418482697248,-0.18146615443345349,-0.19077477311239274
2014-01-15,0.06840177886398464,-0.1842672092559235,-0.19253116165232054
2014-01-16,0.06632305359184401,-0.18492747623969547,-0.18578030935812523
2014-01-17,0.054828038263325385,-0.18301353636755174,-0.18917225860880812
2014-01-20,0.061176745091390844,-0.19364333576722742,-0.18489629272821073
2014-01-21,0.05698264759537322,-0.19243724574396792,-0.1843398711040334
2014-01-22,0.0574918013156448,-0.19480021701970635,-0.1863782420368987
2014-01-23,0.06281742069981934,-0.2013002440189311,-0.1964140253424439
2014-01-24,0.05554630390975743,-0.19489798006008635,-0.21308462818175183
2014-01-27,0.05456674476491319,-0.18626869793003575,-0.21320400806120776
2014-01-28,0.05957595403227817,-0.1923487656455241,-0.21505372548193405
2014-01-29,0.06036130380245025,-0.19348501835723203,-0.21431113639354532
2014-01-30,0.06297954262067962,-0.19256294463078533,-0.2225633124784322
2014-01-31,0.07308310135833804,-0.19622862383477135,-0.2120028028396112
2014-02-03,0.07731818535955312,-0.19777650622650927,-0.2045417398512191
2014-02-04,0.08082287747267472,-0.18717260719356987,-0.20885227707503556
2014-02-05,0.08046796004029179,-0.18917033174247633,-0.20386354137727114
2014-02-06,0.08149817992562246,-0.18753754273997197,-0.20336714632526684
2014-02-07,0.08209972226156571,-0.18302294227348304,-0.2061594649995298
2014-02-10,0.0770302962619576,-0.1864238294184839,-0.20535370411359657
2014-02-11,0.07846023157993016,-0.18436218147547317,-0.20953339809197924
2014-02-12,0.08214302512989317,-0.18731212711668516,-0.20343648119457544
2014-02-13,0.08075851908516919,-0.20065852075021823,-0.19937257260726718
2014-02-14,0.07349156491504856,-0.1969993605369349,-0.20596468004328497
2014-02-17,0.07813091457348006,-0.20168538069421343,-0.2074775685558779
2014-02-18,0.07766376280040677,-0.1988784310770078,-0.20592718914803368
2014-02-19,0.08305014442382722,-0.1926688445498148,-0.20983462625440896
2014-02-20,0.08402167168743654,-0.19434715608447933,-0.21951442572623114
2014-02-21,0.08129601498308096,-0.19416951858065135,-0.2220021063548713
2014-02-24,0.08085098273014212,-0.1912499179418819,-0.2250130634987581
2014-02-25,0.0811205577849514,-0.19280159905941846,-0.21860335332194766
2014-02-26,0.07863532777891981,-0.19329062343629166,-0.22281851872494676
2014-02-27,0.07584182886972483,-0.19743306588470488,-0.22345798269259803
2014-02-28,0.06877211504058431,-0.19698815436853473,-0.22487590322231413
2014-03-03,0.06246107747802386,-0.19415400767701024,-0.22925451693259202
2014-03-04,0.06487843371234221,-0.19341613351637704,-0.22718783512818214
2014-03-05,0.06508016718055307,-0.19303068061822365,-0.22285078529426885
2014-03-06,0.06498927033469551,-0.19666044347784217,-0.21742033012190048
2014-03-07,0.0717578003612417,-0.18867449236589595,-0.22161537149639343
2014-03-10,0.06665890219467989,-0.18691493844548468,-0.23387895134005668
2014-03-11,0.06346129007072603,-0.18144429957556024,-0.23625697721249378
2014-03-12,0.05858642380153953,-0.18177852552335116,-0.23592725518612384
2014-03-13,0.05419967188375739,-0.1784667092255438,-0.24041211346835112
2014-03-14,0.05592852325922294,-0.18151839600842123,-0.23603844079396957
2014-03-17,0.055924313787638,-0.17913493724029556,-0.24056165316335779
2014-03-18,0.05934115588254378,-0.17796055978497666,-0.23604493168420893
2014-03-19,0.05741201206809132,-0.1751778622588025,-0.24247499063291855
2014-03-20,0.05661150777569811,-0.1796632699940225,-0.24328624187425163
2014-03-21,0.057684678178703264,-0.18052013430545122,-0.2411855020449824
2014-03-24,0.06291199750653462,-0.17841922689721762,-0.24101386658976237
2014-03-25,0.0658046126792154,-0.17577728180562457,-0.2402355554899055
2014-03-26,0.03734955268773754,0.1830473265307091,-0.13697529696957483
2014-03-27,0.041651075740150714,0.18620877996782492,-0.12884983990581297
2014-03-28,0.040667989621392245,0.1872982877242395,-0.1211849106152302
2014-03-31,0.039377657400054666,0.18716767770124038,-0.12301931578504792
2014-04-01,0.03959884485190929,0.18730620905940576,-0.12374141300560468
2014-04-02,0.04036450603650091,0.19207328459611486,-0.12199631005550757
2014-04-03,0.042870158356897586,0.18969730197441492,-0.12095346229219925
