strategy,strategy_group,cagr,sharpe,max_drawdown,calmar,average_turnover,total_return,volatility,hit_rate
buy_hold,classical,0.2306442602586758,1.1542866101286626,-0.26549229217549364,0.868741831895508,0.0,4.698415527269785,0.1966405798542267,0.5707524846190251
classic_momentum_63,classical,0.21783780186263946,1.1458826452981157,-0.3721985770469267,0.5852730646930295,0.14155943178659694,4.219882769862473,0.18745209037848137,0.5499290108849977
detime_macd_12_26_9,detime,0.23082331986487037,1.1171156215716844,-0.2139459339407459,1.0788862195847984,0.19158271922114797,4.705371397997927,0.20484074180143946,0.4131566493137719
detime_trend_slope,detime,0.2000224750326003,1.0369864041546113,-0.29371256401182577,0.6810143641813933,0.03455141640186601,3.613140331947232,0.19412597824308161,0.48225272124940843
classic_sma_50_120,classical,0.2039193118217142,1.0288837762026297,-0.23009176340860948,0.8862521143774416,0.030230470481298687,3.740265233283779,0.19992279590463047,0.5461429247515381
classic_macd_12_26_9,classical,0.17699295261077785,0.9818491350879651,-0.3481989896231975,0.508309782295205,0.29881609687572774,2.9213284452661483,0.18312015569485854,0.5205868433506863
classic_sma_20_100,classical,0.18327180484340766,0.9664846111168078,-0.389331557080002,0.4707345230834909,0.04175962860297929,3.1002266879474094,0.19368261292503092,0.5409370563180312
classic_multi_ma_20_50_100,classical,0.18407106589093036,0.9581706802858422,-0.31196473215723364,0.5900380617324286,0.07260684049609747,3.1235072977191676,0.19666597144106032,0.5177472787505916
detime_sma_20_100_trend_volume,detime,0.16709401243680988,0.8776479748223683,-0.2795960488380296,0.5976265155792946,0.045875119254201124,2.6532311399573376,0.19864808178914103,0.4557501183151917
detime_trend_cycle_volume,detime,0.10260565149066303,0.5808153134099355,-0.3516440053492095,0.29178842786973647,0.05065693101660921,1.2682458712969709,0.20431967791160402,0.3890203502129673
detime_trend_pullback,detime,0.10238130213711427,0.5803242020807226,-0.2691521890278349,0.3803844304848894,0.04065309985802177,1.26437893140326,0.20388302349929405,0.33459536204448653
