strategy,strategy_group,cagr,sharpe,max_drawdown,calmar,average_turnover,average_gross_exposure,total_return,volatility,hit_rate
classic_pair_ratio_zscore_120,classical_pair,0.02272835987535249,0.7340944694472803,-0.031134540938522748,0.7300046568931647,0.06711409395973154,0.8897411313518696,0.09748045042032327,0.031282389622821774,0.4621284755512943
detime_spread_trend_drift_blocker,detime_pair,0.004912926300806975,0.3513171003472431,-0.028447677519268688,0.1727004356499494,0.0017376051179917138,0.15532118887823587,0.020491393088936105,0.014238541038231751,0.08245445829338446
detime_spread_residual_z,detime_pair,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
detime_spread_cycle_timed,detime_pair,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
classic_pair_spread_zscore_120,classical_pair,-0.018184281639221145,-0.4534075074146669,-0.12912168027821458,-0.14083058398899412,0.051398481709263796,0.9443911792905082,-0.07314248520998856,0.038810480912057674,0.4813039309683605
classic_pair_corr_filtered_zscore,classical_pair,-0.020056061089474442,-0.5239762125051449,-0.15424070088515618,-0.13003092552339793,0.05835932611840707,0.9165867689357622,-0.08043406821344601,0.03733224172894398,0.46883988494726747
