Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,1.6563970000000001,1.6563970000000001,1.6563970000000001,1.6563970000000001,1.6563970000000001,0.0
2014-01-02,1.65766,1.660495,1.6423869999999998,1.6580720000000002,1.6580720000000002,0.0
2014-01-03,1.6450069999999999,1.6475009999999999,1.6400700000000001,1.644791,1.644791,0.0
2014-01-06,1.641201,1.643304,1.634254,1.641309,1.641309,0.0
2014-01-07,1.6414970000000002,1.643548,1.637546,1.641794,1.641794,0.0
2014-01-08,1.6400430000000001,1.647311,1.637894,1.640016,1.640016,0.0
2014-01-09,1.6446020000000001,1.649403,1.6443310000000002,1.64471,1.64471,0.0
2014-01-10,1.647772,1.6513099999999998,1.6384040000000002,1.6479080000000002,1.6479080000000002,0.0
2014-01-13,1.6495119999999999,1.6510099999999999,1.6353229999999999,1.64943,1.64943,0.0
2014-01-14,1.639291,1.6461990000000002,1.636929,1.638995,1.638995,0.0
2014-01-15,1.643548,1.64398,1.63252,1.6434119999999999,1.6434119999999999,0.0
2014-01-16,1.636447,1.637626,1.632307,1.636179,1.636179,0.0
2014-01-17,1.634788,1.645603,1.631508,1.6352959999999999,1.6352959999999999,0.0
2014-01-20,1.64209,1.6452509999999998,1.6398009999999998,1.641794,1.641794,0.0
2014-01-21,1.642791,1.6483419999999998,1.640178,1.642414,1.642414,0.0
2014-01-22,1.6475549999999999,1.65799,1.645305,1.6475279999999999,1.6475279999999999,0.0
2014-01-23,1.6562599999999998,1.66334,1.655876,1.656205,1.656205,0.0
2014-01-24,1.6633950000000002,1.666639,1.6484509999999999,1.6634779999999998,1.6634779999999998,0.0
2014-01-27,1.6491580000000001,1.658677,1.648261,1.6490490000000002,1.6490490000000002,0.0
2014-01-28,1.6575229999999999,1.6621240000000002,1.6542869999999998,1.6574950000000002,1.6574950000000002,0.0
2014-01-29,1.656891,1.66055,1.6528919999999998,1.657001,1.657001,0.0
2014-01-30,1.655821,1.6565889999999999,1.6448990000000001,1.655903,1.655903,0.0
2014-01-31,1.64943,1.649947,1.6431689999999999,1.6498380000000001,1.6498380000000001,0.0
2014-02-03,1.643791,1.643791,1.632706,1.643791,1.643791,0.0
2014-02-04,1.6311879999999999,1.6344940000000001,1.62599,1.630896,1.630896,0.0
2014-02-05,1.633106,1.634307,1.625911,1.633053,1.633053,0.0
2014-02-06,1.6328129999999998,1.6338,1.627445,1.632706,1.632706,0.0
2014-02-07,1.6321729999999999,1.640016,1.6318540000000001,1.6322,1.6322,0.0
2014-02-10,1.641012,1.642872,1.6384849999999997,1.641039,1.641039,0.0
2014-02-11,1.6406619999999998,1.648207,1.6394520000000001,1.6408770000000001,1.6408770000000001,0.0
2014-02-12,1.644791,1.6584849999999998,1.6430069999999999,1.6448720000000001,1.6448720000000001,0.0
