Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,1.374495,1.377904,1.3744,1.374495,1.374495,0.0
2014-01-02,1.376595,1.377467,1.363271,1.376671,1.376671,0.0
2014-01-03,1.366624,1.367297,1.36017,1.366662,1.366662,0.0
2014-01-06,1.359582,1.36461,1.3572790000000001,1.359601,1.359601,0.0
2014-01-07,1.3630659999999999,1.365799,1.3598780000000001,1.3631959999999999,1.3631959999999999,0.0
2014-01-08,1.361693,1.363605,1.357202,1.361637,1.361637,0.0
2014-01-09,1.357257,1.3632799999999998,1.355489,1.357202,1.357202,0.0
2014-01-10,1.360711,1.368701,1.35781,1.360711,1.360711,0.0
2014-01-13,1.367222,1.368476,1.363931,1.367185,1.367185,0.0
2014-01-14,1.367091,1.369859,1.365029,1.366998,1.366998,0.0
2014-01-15,1.366811,1.367353,1.35826,1.366848,1.366848,0.0
2014-01-16,1.360119,1.364791,1.358806,1.359934,1.359934,0.0
2014-01-17,1.3615629999999999,1.362101,1.355693,1.361804,1.361804,0.0
2014-01-20,1.352832,1.35664,1.3509309999999999,1.352759,1.352759,0.0
2014-01-21,1.354536,1.356399,1.3518629999999998,1.354903,1.354903,0.0
2014-01-22,1.355748,1.358087,1.3535409999999999,1.3559139999999998,1.3559139999999998,0.0
2014-01-23,1.354518,1.368551,1.3533629999999999,1.3542239999999999,1.3542239999999999,0.0
2014-01-24,1.369,1.373494,1.366494,1.3689069999999999,1.3689069999999999,0.0
2014-01-27,1.3688129999999998,1.371499,1.36554,1.368794,1.368794,0.0
2014-01-28,1.3675959999999998,1.36894,1.3631799999999998,1.367465,1.367465,0.0
2014-01-29,1.36543,1.368599,1.36045,1.365505,1.365505,0.0
2014-01-30,1.365915,1.366214,1.356061,1.365859,1.365859,0.0
2014-01-31,1.355859,1.356239,1.348109,1.355877,1.355877,0.0
2014-02-03,1.348818,1.35196,1.347931,1.348818,1.348818,0.0
2014-02-04,1.352283,1.354005,1.349564,1.352503,1.352503,0.0
2014-02-05,1.3516620000000001,1.3553,1.35004,1.351589,1.351589,0.0
2014-02-06,1.353491,1.3620079999999999,1.3491090000000001,1.35351,1.35351,0.0
2014-02-07,1.358973,1.3642100000000001,1.355579,1.359213,1.359213,0.0
2014-02-10,1.362027,1.365201,1.362027,1.361934,1.361934,0.0
2014-02-11,1.364592,1.368401,1.36313,1.36461,1.36461,0.0
2014-02-12,1.363903,1.365501,1.3563,1.363903,1.363903,0.0
2014-02-13,1.358899,1.369171,1.358696,1.35901,1.35901,0.0
2014-02-14,1.367765,1.371599,1.367484,1.367877,1.367877,0.0
2014-02-17,1.370257,1.372608,1.3692819999999999,1.3699940000000002,1.3699940000000002,0.0
2014-02-18,1.370708,1.3769,1.3696190000000001,1.3704450000000001,1.3704450000000001,0.0
2014-02-19,1.376103,1.377335,1.3742,1.376197,1.376197,0.0
2014-02-20,1.373174,1.376406,1.369019,1.373042,1.373042,0.0
2014-02-21,1.3720620000000001,1.375669,1.370351,1.372119,1.372119,0.0
2014-02-24,1.374004,1.3769,1.371011,1.373796,1.373796,0.0
2014-02-25,1.373513,1.3765,1.3718700000000001,1.373608,1.373608,0.0
2014-02-26,1.3746459999999998,1.3758,1.366579,1.374608,1.374608,0.0
2014-02-27,1.368195,1.3696,1.364498,1.368195,1.368195,0.0
2014-02-28,1.370746,1.38234,1.369529,1.370746,1.370746,0.0
2014-03-03,1.377543,1.3796,1.374986,1.3776950000000001,1.3776950000000001,0.0
2014-03-04,1.373645,1.377891,1.372232,1.373702,1.373702,0.0
2014-03-05,1.374306,1.374601,1.371084,1.374117,1.374117,0.0
