Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,1.12021,1.12021,1.120072,1.12021,1.12021,0.0
2014-01-02,1.121831,1.122599,1.107911,1.121705,1.121705,0.0
2014-01-03,1.1121860000000001,1.112595,1.105828,1.112174,1.112174,0.0
2014-01-06,1.104741,1.107248,1.102536,1.1049360000000001,1.1049360000000001,0.0
2014-01-07,1.106439,1.1065989999999999,1.099384,1.106488,1.106488,0.0
2014-01-08,1.099747,1.101807,1.0957219999999999,1.099723,1.099723,0.0
2014-01-09,1.097069,1.102293,1.096131,1.097093,1.097093,0.0
2014-01-10,1.102657,1.110494,1.1007879999999999,1.102743,1.102743,0.0
2014-01-13,1.108586,1.110618,1.105351,1.108647,1.108647,0.0
2014-01-14,1.1120379999999999,1.1127559999999999,1.107273,1.1121,1.1121,0.0
2014-01-15,1.107346,1.107911,1.098225,1.10742,1.10742,0.0
2014-01-16,1.1001100000000001,1.106929,1.09866,1.099868,1.099868,0.0
2014-01-17,1.1049719999999998,1.105779,1.099687,1.105241,1.105241,0.0
2014-01-20,1.097213,1.1001100000000001,1.095122,1.097213,1.097213,0.0
2014-01-21,1.097876,1.0981530000000002,1.092777,1.097864,1.097864,0.0
2014-01-22,1.098298,1.100267,1.096311,1.098539,1.098539,0.0
2014-01-23,1.096251,1.112347,1.095002,1.096227,1.096227,0.0
2014-01-24,1.1134870000000001,1.122965,1.112335,1.113561,1.113561,0.0
2014-01-27,1.118819,1.119557,1.113214,1.118819,1.118819,0.0
2014-01-28,1.1155979999999999,1.1169440000000002,1.110285,1.115586,1.115586,0.0
2014-01-29,1.111605,1.1189440000000002,1.110371,1.111617,1.111617,0.0
2014-01-30,1.117443,1.118006,1.108021,1.117319,1.117319,0.0
2014-01-31,1.108033,1.110075,1.1031440000000001,1.10807,1.10807,0.0
2014-02-03,1.103156,1.108955,1.1013819999999999,1.103156,1.103156,0.0
2014-02-04,1.109607,1.1101239999999999,1.103667,1.1094469999999998,1.1094469999999998,0.0
2014-02-05,1.106182,1.110235,1.104362,1.106317,1.106317,0.0
2014-02-06,1.106293,1.1151010000000001,1.103631,1.106317,1.106317,0.0
2014-02-07,1.1101,1.115076,1.108414,1.110272,1.110272,0.0
2014-02-10,1.112595,1.1161590000000001,1.1121,1.112595,1.112595,0.0
2014-02-11,1.115449,1.118443,1.114243,1.115324,1.115324,0.0
2014-02-12,1.113201,1.1152,1.1066479999999999,1.113338,1.113338,0.0
2014-02-13,1.110248,1.121189,1.110001,1.110285,1.110285,0.0
2014-02-14,1.119357,1.122662,1.118568,1.119319,1.119319,0.0
2014-02-17,1.121831,1.1235950000000001,1.1205610000000001,1.121453,1.121453,0.0
2014-02-18,1.121491,1.127269,1.120185,1.121453,1.121453,0.0
2014-02-19,1.12638,1.127777,1.1252389999999999,1.126316,1.126316,0.0
2014-02-20,1.125113,1.128796,1.1218059999999999,1.1250870000000002,1.1250870000000002,0.0
2014-02-21,1.124594,1.12765,1.12246,1.124467,1.124467,0.0
2014-02-24,1.1270149999999999,1.12914,1.12246,1.1270149999999999,1.1270149999999999,0.0
2014-02-25,1.1252389999999999,1.129433,1.124859,1.1252010000000001,1.1252010000000001,0.0
2014-02-26,1.127523,1.127904,1.120134,1.1273959999999998,1.1273959999999998,0.0
2014-02-27,1.1227120000000002,1.124101,1.122435,1.122838,1.122838,0.0
2014-02-28,1.125873,1.137333,1.125113,1.125746,1.125746,0.0
2014-03-03,1.13701,1.137656,1.1340700000000001,1.13688,1.13688,0.0
2014-03-04,1.1326180000000001,1.133273,1.127968,1.132772,1.132772,0.0
2014-03-05,1.127269,1.128668,1.124442,1.1270149999999999,1.1270149999999999,0.0
2014-03-06,1.126849,1.134829,1.1248209999999998,1.126989,1.126989,0.0
2014-03-07,1.1361569999999999,1.141931,1.134469,1.136105,1.136105,0.0
2014-03-10,1.139082,1.141383,1.137281,1.139471,1.139471,0.0
2014-03-11,1.139341,1.139471,1.135938,1.139523,1.139523,0.0
2014-03-12,1.1395879999999998,1.143694,1.13811,1.139731,1.139731,0.0
