strategy,asset,side,entry_signal_date,entry_fill_date,exit_signal_date,exit_fill_date,entry_price,exit_price,bars_held,entry_weight,directional_return,approx_weighted_return_after_cost
detime_STL_trend_following,SPY,long,2019-04-03,2019-04-04,2019-10-31,2019-11-01,258.34145373384234,277.2931233292428,147,0.3504062901129092,0.07335899570699755,0.025460169129018807
detime_STL_trend_following,SPY,long,2020-02-03,2020-02-04,2020-04-02,2020-04-03,299.81256511181664,230.509004139297,42,0.419128796860991,-0.23115629242114166,-0.09717764888712321
detime_STL_trend_following,SPY,long,2020-08-03,2020-08-04,2022-03-03,2022-03-04,302.70874832852365,407.2884450363373,399,0.3755304766877696,0.3454795980799188,0.12947524681916953
detime_STL_trend_following,SPY,long,2023-07-06,2023-07-07,2023-11-02,2023-11-03,423.664201015191,419.837246175809,84,0.36175874912852357,-0.009032990822004261,-0.003520994585047662
detime_STL_trend_following,SPY,long,2024-02-05,2024-02-06,2025-03-10,2025-03-11,480.3022375794468,551.4012894751355,273,0.4358294030261753,0.1480298160883089,0.06421066579372386
detime_STL_trend_following,SPY,long,2025-08-08,2025-08-11,2026-04-10,2026-04-13,632.0984361099556,677.4099731445312,168,0.435712007262766,0.07168430492160494,0.030928713981544724
detime_STL_oscillation_reversion,SPY,long,2019-01-02,2019-01-03,2019-02-01,2019-02-04,222.633586997628,242.2573846874624,21,0.6255709815415402,0.08814392273185412,0.05470238057320858
detime_STL_oscillation_reversion,SPY,short,2020-01-02,2020-01-03,2020-02-03,2020-02-04,293.4978019068177,299.81256511181664,21,-0.6866783019293168,-0.02151553832421471,-0.015254928132917418
detime_STL_oscillation_reversion,SPY,short,2021-02-02,2021-02-03,2021-03-04,2021-03-05,356.02632883796133,354.1831732825668,21,-0.8099901122543305,0.005177020366472385,0.0036263422292038905
detime_STL_oscillation_reversion,SPY,short,2021-06-03,2021-06-04,2021-07-02,2021-07-06,392.973358609629,406.4685771019908,21,-0.8806226459130051,-0.0343413063422644,-0.030858167907373044
detime_STL_oscillation_reversion,SPY,long,2021-10-01,2021-10-04,2021-11-01,2021-11-02,407.03749673565017,432.6254507202016,21,0.6447812315571739,0.06286387418790929,0.04008209935724536
detime_STL_oscillation_reversion,SPY,short,2021-12-31,2022-01-03,2022-02-01,2022-02-02,449.3143224260172,429.6927977248774,21,-0.7400161332574775,0.04366992931628766,0.031798440938986317
detime_STL_oscillation_reversion,SPY,short,2022-08-03,2022-08-04,2022-09-01,2022-09-02,393.80123040665455,380.4106586214813,21,-0.6304739599220832,0.03400337721480873,0.020996912111399337
detime_STL_oscillation_reversion,SPY,short,2024-11-04,2024-11-05,2025-01-06,2025-01-07,560.6919638738422,588.877548048508,42,-0.8788072680720176,-0.0502692850811175,-0.044792178177720715
detime_STL_oscillation_reversion,SPY,short,2025-06-09,2025-06-10,2025-08-08,2025-08-11,593.4172416440205,632.0984361099556,42,-0.8620955804222992,-0.06518380618461928,-0.05679813813315962
detime_STL_oscillation_reversion,SPY,long,2026-01-08,2026-01-09,2026-02-09,2026-02-10,688.7489932725086,693.0572335194393,21,0.7894105369146338,0.00625516739626808,0.004385307676938653
detime_STL_hybrid_regime,SPY,long,2019-01-02,2019-01-03,2019-02-01,2019-02-04,222.633586997628,242.2573846874624,21,0.6255709815415402,0.08814392273185412,0.05470238057320858
detime_STL_hybrid_regime,SPY,short,2020-01-02,2020-01-03,2020-02-03,2020-02-04,293.4978019068177,299.81256511181664,21,-0.6866783019293168,-0.02151553832421471,-0.015254928132917418
detime_STL_hybrid_regime,SPY,short,2021-02-02,2021-02-03,2021-03-04,2021-03-05,356.02632883796133,354.1831732825668,21,-0.8099901122543305,0.005177020366472385,0.0036263422292038905
detime_STL_hybrid_regime,SPY,short,2021-06-03,2021-06-04,2021-07-02,2021-07-06,392.973358609629,406.4685771019908,21,-0.8806226459130051,-0.0343413063422644,-0.030858167907373044
detime_STL_hybrid_regime,SPY,long,2021-10-01,2021-10-04,2021-11-01,2021-11-02,407.03749673565017,432.6254507202016,21,0.6447812315571739,0.06286387418790929,0.04008209935724536
detime_STL_hybrid_regime,SPY,short,2021-12-31,2022-01-03,2022-02-01,2022-02-02,449.3143224260172,429.6927977248774,21,-0.7400161332574775,0.04366992931628766,0.031798440938986317
detime_STL_hybrid_regime,SPY,short,2022-08-03,2022-08-04,2022-09-01,2022-09-02,393.80123040665455,380.4106586214813,21,-0.6304739599220832,0.03400337721480873,0.020996912111399337
detime_STL_hybrid_regime,SPY,short,2024-11-04,2024-11-05,2025-01-06,2025-01-07,560.6919638738422,588.877548048508,42,-0.8788072680720176,-0.0502692850811175,-0.044792178177720715
detime_STL_hybrid_regime,SPY,short,2025-06-09,2025-06-10,2025-08-08,2025-08-11,593.4172416440205,632.0984361099556,42,-0.8620955804222992,-0.06518380618461928,-0.05679813813315962
detime_STL_hybrid_regime,SPY,long,2026-01-08,2026-01-09,2026-02-09,2026-02-10,688.7489932725086,693.0572335194393,21,0.7894105369146338,0.00625516739626808,0.004385307676938653
detime_SSA_trend_following,SPY,long,2020-01-02,2020-01-03,2020-03-04,2020-03-05,293.4978019068177,278.71135042930734,42,0.3426071626457233,-0.05038010977065133,-0.017500411476154935
detime_SSA_trend_following,SPY,long,2020-12-31,2021-01-04,2021-10-01,2021-10-04,349.3887700821715,407.03749673565017,189,0.3964868213502549,0.1649987967269826,0.06514230766595298
detime_SSA_trend_following,SPY,long,2021-12-31,2022-01-03,2022-02-01,2022-02-02,449.3143224260172,429.6927977248774,21,0.3597856382997343,-0.04366992931628766,-0.015963663340374648
