strategy,total_return,cagr,sharpe,max_drawdown,calmar,volatility,hit_rate,trade_win_rate,average_trade_directional_return,orders,round_trips,median_bars_held,average_turnover,average_gross_exposure,fee_bps,slippage_bps,periods_per_year,execution_model
buy_hold,0.8874787621273119,0.17211579510235087,0.7991646785444741,-0.19278671717318907,0.8927782869383653,0.23217057957968104,0.5248015873015873,,,1.0,0.0,,0.0,1.0,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_rsi_14,0.26825327098642915,0.06121040073138295,0.5325374935034871,-0.15898665985043203,0.38500337568552684,0.12643444061280776,0.1359126984126984,0.7142857142857143,0.01834702514476933,29.0,14.0,10.5,0.028769841269841268,0.25992063492063494,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_bollinger_20_2,0.3235429916568777,0.07259190061285525,0.47826676737756774,-0.20705964725497283,0.35058448893939115,0.18123821711232768,0.25595238095238093,0.725,0.009610141615874748,79.0,40.0,9.5,0.08035714285714286,0.49007936507936506,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_STL_oscillation_reversion,0.06343473753599649,0.01549481585588941,0.3720002477653312,-0.06575177912609187,0.2356562219582694,0.043913730490162284,0.06845238095238096,1.0,0.07051724566922153,9.0,3.0,42.0,0.004347260368808295,0.06933773988886191,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_STL_hybrid_regime,0.06343473753599649,0.01549481585588941,0.3720002477653312,-0.06575177912609187,0.2356562219582694,0.043913730490162284,0.06845238095238096,1.0,0.07051724566922153,9.0,3.0,42.0,0.004347260368808295,0.06933773988886191,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_macd_12_26_9,0.055857724913667806,0.013681102878785767,0.16269907920390525,-0.18950007015187098,0.07219576682911687,0.1591594916955656,0.2390873015873016,0.3902439024390244,0.003869670101496525,82.0,41.0,9.0,0.08134920634920635,0.4930555555555556,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_sma_20_100,0.010232223242602645,0.002548298513928682,0.10701893612619674,-0.2971572490404243,0.008575589261771701,0.18730978588183397,0.3323412698412698,0.25,-0.002942399064247092,17.0,8.0,67.0,0.016865079365079364,0.6309523809523809,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
detime_STL_trend_following,0.010249279359423324,0.0025525300837212495,0.07976709013150161,-0.06515856944551224,0.03917412714003428,0.04432415333550515,0.1626984126984127,0.4,0.002336788334675477,20.0,5.0,42.0,0.004409834350002299,0.10426498777945718,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
classic_turtle_55_20,-0.1497343015077628,-0.0397403842140398,-0.28314801820324365,-0.24626970104463475,-0.16136936068654714,0.1181611463090067,0.20436507936507936,0.4,-0.011825084588429602,21.0,10.0,36.0,0.020833333333333332,0.3878968253968254,5.0,2.0,252.0,signal_on_bar_t_fill_next_bar_open_or_proxy
