,trend,trend,trend,trend,trend,trend,cycle,cycle,cycle,cycle,cycle,cycle,trend_strength,trend_strength,trend_strength,trend_strength,trend_strength,trend_strength,residual_z,residual_z,residual_z,residual_z,residual_z,residual_z,selected_period,selected_period,selected_period,selected_period,selected_period,selected_period
,AUDUSD=X,CADUSD=X,CHFUSD=X,EURUSD=X,GBPUSD=X,NZDUSD=X,AUDUSD=X,CADUSD=X,CHFUSD=X,EURUSD=X,GBPUSD=X,NZDUSD=X,AUDUSD=X,CADUSD=X,CHFUSD=X,EURUSD=X,GBPUSD=X,NZDUSD=X,AUDUSD=X,CADUSD=X,CHFUSD=X,EURUSD=X,GBPUSD=X,NZDUSD=X,AUDUSD=X,CADUSD=X,CHFUSD=X,EURUSD=X,GBPUSD=X,NZDUSD=X
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-27,-0.26110851444283056,-0.23388131304399656,0.006050516388731872,0.15298573230925028,0.2935412211518591,-0.3580495402141867,-0.005673694722454942,-0.00037113563708100284,-0.002306490141568653,0.0005849767379641623,-0.018894049634519267,-0.006577725944494432,-0.14950428748000175,-0.09106832409381524,-0.16920678774073689,-0.10347738340199836,0.0784575311250889,-0.13844773194434007,-0.6408249943136499,-1.014202690780107,-0.4146358195228694,-0.5378041786854654,-0.6847959902067586,-0.7980503163128158,42.0,42.0,42.0,42.0,42.0,42.0
2017-12-28,-0.26110851444283056,-0.23388131304399656,0.006050516388731872,0.15298573230925028,0.2935412211518591,-0.3580495402141867,-0.005673694722454942,-0.00037113563708100284,-0.002306490141568653,0.0005849767379641623,-0.018894049634519267,-0.006577725944494432,-0.14950428748000175,-0.09106832409381524,-0.16920678774073689,-0.10347738340199836,0.0784575311250889,-0.13844773194434007,-0.6408249943136499,-1.014202690780107,-0.4146358195228694,-0.5378041786854654,-0.6847959902067586,-0.7980503163128158,42.0,42.0,42.0,42.0,42.0,42.0
2017-12-29,-0.26110851444283056,-0.23388131304399656,0.006050516388731872,0.15298573230925028,0.2935412211518591,-0.3580495402141867,-0.005673694722454942,-0.00037113563708100284,-0.002306490141568653,0.0005849767379641623,-0.018894049634519267,-0.006577725944494432,-0.14950428748000175,-0.09106832409381524,-0.16920678774073689,-0.10347738340199836,0.0784575311250889,-0.13844773194434007,-0.6408249943136499,-1.014202690780107,-0.4146358195228694,-0.5378041786854654,-0.6847959902067586,-0.7980503163128158,42.0,42.0,42.0,42.0,42.0,42.0
2018-01-01,-0.26110851444283056,-0.23388131304399656,0.006050516388731872,0.15298573230925028,0.2935412211518591,-0.3580495402141867,-0.005673694722454942,-0.00037113563708100284,-0.002306490141568653,0.0005849767379641623,-0.018894049634519267,-0.006577725944494432,-0.14950428748000175,-0.09106832409381524,-0.16920678774073689,-0.10347738340199836,0.0784575311250889,-0.13844773194434007,-0.6408249943136499,-1.014202690780107,-0.4146358195228694,-0.5378041786854654,-0.6847959902067586,-0.7980503163128158,42.0,42.0,42.0,42.0,42.0,42.0
2018-01-02,-0.26110851444283056,-0.23388131304399656,0.006050516388731872,0.15298573230925028,0.2935412211518591,-0.3580495402141867,-0.005673694722454942,-0.00037113563708100284,-0.002306490141568653,0.0005849767379641623,-0.018894049634519267,-0.006577725944494432,-0.14950428748000175,-0.09106832409381524,-0.16920678774073689,-0.10347738340199836,0.0784575311250889,-0.13844773194434007,-0.6408249943136499,-1.014202690780107,-0.4146358195228694,-0.5378041786854654,-0.6847959902067586,-0.7980503163128158,42.0,42.0,42.0,42.0,42.0,42.0
