pair,method_variant,date,latest_beta,latest_return_corr,latest_trend_corr,latest_cycle_corr,latest_residual_corr,latest_raw_spread,latest_fair_spread,latest_residual_gap,latest_residual_z_gap,trend_similarity_pass,cycle_similarity_pass,raw_price_coint_test,raw_price_coint_statistic,raw_price_coint_pvalue,raw_price_coint_critical_1pct,raw_price_coint_critical_5pct,raw_price_coint_critical_10pct,raw_price_coint_valid,raw_price_coint_reason,fair_value_coint_test,fair_value_coint_statistic,fair_value_coint_pvalue,fair_value_coint_critical_1pct,fair_value_coint_critical_5pct,fair_value_coint_critical_10pct,fair_value_coint_valid,fair_value_coint_reason,raw_spread_adf_test,raw_spread_adf_statistic,raw_spread_adf_pvalue,raw_spread_adf_critical_1pct,raw_spread_adf_critical_5pct,raw_spread_adf_critical_10pct,raw_spread_adf_valid,raw_spread_adf_reason,fair_spread_adf_test,fair_spread_adf_statistic,fair_spread_adf_pvalue,fair_spread_adf_critical_1pct,fair_spread_adf_critical_5pct,fair_spread_adf_critical_10pct,fair_spread_adf_valid,fair_spread_adf_reason,residual_gap_adf_test,residual_gap_adf_statistic,residual_gap_adf_pvalue,residual_gap_adf_critical_1pct,residual_gap_adf_critical_5pct,residual_gap_adf_critical_10pct,residual_gap_adf_valid,residual_gap_adf_reason
AUDUSD=X/NZDUSD=X,STL_p42_tw126,2018-01-02,0.5098093268061836,0.6322435094548439,0.9999999999988906,1.0000000000000229,1.0000000000012796,-0.07287384892970325,-0.08089182806974912,-8.006121172369584e-05,0.15722532199916583,True,True,engle_granger,-3.121440084271063,0.08407725915925401,-3.90698133937025,-3.3420001036320968,-3.048522754668602,True,,engle_granger,-1.8409732354245156,0.609614979736141,-3.908423055195157,-3.342801254707815,-3.0490783164603177,True,,adf,-2.350616915622399,0.15616200405062608,-3.436777287462024,-2.8643777347701866,-2.5682809352172242,True,,adf,-2.267431950668251,0.18268699856418008,-3.437501253878553,-2.864696995470416,-2.568450985005155,True,,adf,-1.6693517053872133,0.44696852974569556,-3.43664125006105,-2.864317735333004,-2.5682489786730818,True,
EURUSD=X/GBPUSD=X,STL_p42_tw126,2018-01-02,0.40659635343011974,0.44672957033620564,0.9999999999999466,1.0000000000000002,1.0000000000000568,0.06092386283272622,0.041900170628367386,0.0013554339254683327,0.14699181152129326,True,True,engle_granger,-1.4860696270529032,0.7664949229895304,-3.90698133937025,-3.3420001036320968,-3.048522754668602,True,,engle_granger,-1.3827524500723485,0.8033640514635839,-3.908423055195157,-3.342801254707815,-3.0490783164603177,True,,adf,-1.5320842490257007,0.5175842590596242,-3.43664125006105,-2.864317735333004,-2.5682489786730818,True,,adf,-1.6938908918688271,0.43426279012894414,-3.437501253878553,-2.864696995470416,-2.568450985005155,True,,adf,-1.808907030833012,0.37604865261405246,-3.43664125006105,-2.864317735333004,-2.5682489786730818,True,
CADUSD=X/CHFUSD=X,STL_p42_tw126,2018-01-02,0.4223161505789114,0.4034661438516009,-1.0000000001906029,1.0000000000002285,0.9999999999998386,-0.2383479869872393,-0.23583361143344594,-0.004060875876240748,-0.5995668712572375,False,True,engle_granger,-3.9752633012431557,0.007786321485281855,-3.90698133937025,-3.3420001036320968,-3.048522754668602,True,,engle_granger,-2.1343577858419143,0.458426017049402,-3.908423055195157,-3.342801254707815,-3.0490783164603177,True,,adf,-1.6845232142339301,0.43910370478204663,-3.436677776748241,-2.8643338457318848,-2.5682575592567196,True,,adf,-2.010746104500972,0.28188127502675075,-3.437501253878553,-2.864696995470416,-2.568450985005155,True,,adf,-1.2477617637575802,0.6527200065818604,-3.43664125006105,-2.864317735333004,-2.5682489786730818,True,
