ticker,first_timestamp,last_timestamp,observations,close_missing_ratio,volume_missing_ratio,zero_volume_ratio,min_close,max_close,median_volume
AUDUSD=X,2014-01-01,2018-01-02,1043,0.0,0.0,1.0,0.686106,0.949217,0.0
CADUSD=X,2014-01-01,2018-01-02,1043,0.0,0.0,1.0,0.6859649999999999,0.941682,0.0
CHFUSD=X,2014-01-01,2018-01-02,1043,0.0,0.0,1.0,0.970685,1.170412,0.0
EURUSD=X,2014-01-01,2018-01-02,1043,0.0,0.0,1.0,1.0390469999999998,1.393088,0.0
GBPUSD=X,2014-01-01,2018-01-02,1043,0.0,0.0,1.0,1.203935,1.71609,0.0
NZDUSD=X,2014-01-01,2018-01-02,1043,0.0,0.0,1.0,0.626684,0.8823790000000001,0.0
